age,gender,travel_preferences,destination,duration,purpose,user_budget,actual_expenses,current_location_latitude,current_location_longitude,destination_latitude,destination_longitude,distance,current_cost_of_living_index,destination_cost_of_living_index,accommodation_type,accommodation_cost_per_night,transportation_mode,transportation_cost,daily_meal_expenses,average_restaurant_prices,planned_activities,weather_data,local_events
84,5,0,Madhya Pradesh,7,1,100.0,34302.71,24.296551,122.1619663,12.343742,82.8807,1338111,931,571,0,500.0,0,100.0,90.6,5357.22,vacation,cloudy,art exhibition
70,5,0,Haryana,22,0,50000.0,4213.77,22.300674,19.8369688,14.704527,86.7046,998551,540,832,2,100.0,1,1000.0,767.9,6633.59,vacation,sunny,sports event
74,2,1,Mizoram,26,1,50000.0,48345.87,32.578876,17.1574569,17.059934,72.3261,497383,368,615,0,100.0,1,2000.0,441.58,9109.65,vacation,rainy,sports event
41,2,1,Assam,22,0,2000.0,2647.98,33.180147,13.7914633,21.576251,96.7437,697594,842,945,2,500.0,2,2000.0,62.75,8583.11,sightseeing,sunny,sports event
60,5,1,Manipur,6,0,500.0,6874.72,13.380224,121.026941,12.96388,74.4132,709463,376,544,0,100.0,0,2000.0,635.99,4134.32,shopping,sunny,sports event
22,2,1,Karnataka,21,0,1000.0,43611.52,26.14065,44.4955531,15.280043,84.7671,601081,522,285,0,1000.0,1,100.0,176.27,1189.2,sightseeing,rainy,sports event
44,5,1,Kerala,16,0,1000.0,24039.84,14.24458,-80.7023819,15.985863,95.2923,30997,832,739,2,100.0,0,100.0,106.51,2251.95,sightseeing,sunny,art exhibition
68,5,0,Bihar,18,1,35000.0,47959.69,31.585605,88.7878678,33.424682,79.2497,154846,184,211,2,100.0,2,500.0,440.56,8597.38,sightseeing,rainy,art exhibition
56,2,2,Bihar,12,1,1000.0,44749.09,35.662773,82.433337,11.907765,79.6428,1343842,78,313,1,100.0,0,100.0,928.66,9546.98,shopping,cloudy,music festival
83,5,2,Uttar Pradesh,28,2,5000.0,49091.96,29.441455,-75.7255192,14.945636,70.956,428206,790,321,0,500.0,2,5000.0,343.87,7765.97,sightseeing,sunny,art exhibition
30,2,1,Odisha,19,2,100.0,25301.57,30.747898,10.9469346,14.762751,93.8706,506662,549,830,1,2000.0,2,5000.0,145.1,474.42,vacation,cloudy,music festival
62,5,1,Mizoram,23,1,35000.0,29924.0,11.386231,16.6212715,11.985645,72.0969,126870,889,72,2,1000.0,2,1000.0,851.19,4127.67,sightseeing,rainy,music festival
28,5,0,Karnataka,15,0,35000.0,20093.77,30.920162,-8.8661993,11.545509,75.159,1096266,71,273,1,2000.0,1,500.0,234.18,5541.25,education,cloudy,music festival
54,5,1,Manipur,27,1,2000.0,27122.49,28.636426,44.9105417,28.498572,80.3512,329297,721,371,2,2000.0,0,2000.0,722.84,7979.34,vacation,rainy,sports event
47,5,0,Kerala,4,1,10000.0,30444.07,14.654706,124.364153,29.243149,73.5212,292859,850,197,0,2000.0,2,500.0,840.91,8520.89,education,cloudy,sports event
78,5,2,Assam,9,1,5000.0,2334.66,30.399983,123.55867,17.638151,72.5323,66160,744,698,1,2000.0,2,500.0,292.19,5519.85,hiking,sunny,sports event
64,5,0,Bihar,12,1,25000.0,11832.11,31.684288,101.951925,19.218667,88.7602,467864,156,662,0,2000.0,0,500.0,314.33,2082.24,vacation,rainy,music festival
21,5,2,Jharkhand,28,1,10000.0,34958.62,10.182614,-8.4162288,29.22433,69.4075,667729,125,710,0,1000.0,1,1000.0,966.22,6178.56,shopping,sunny,art exhibition
75,2,1,Jharkhand,11,2,15000.0,1005.78,24.951323,-74.97611,22.175725,85.8726,558625,473,314,2,100.0,1,100.0,505.98,597.26,hiking,rainy,sports event
75,5,0,Haryana,12,0,100.0,43028.39,22.004776,111.2874835,33.340227,95.7611,1342434,40,467,0,500.0,0,1000.0,475.93,3538.42,education,cloudy,art exhibition
29,7,1,Manipur,13,0,35000.0,18311.09,16.231555,37.553869,13.849658,73.3642,323626,930,234,0,1000.0,0,5000.0,370.54,2868.32,education,sunny,sports event
39,2,1,Madhya Pradesh,27,1,500.0,18512.44,22.964786,14.524558,28.58522,82.3133,1137349,868,876,2,500.0,2,100.0,378.35,7424.91,sightseeing,sunny,art exhibition
35,2,2,Meghalaya,3,1,25000.0,46068.09,34.401047,-14.769285,13.179008,71.3662,359386,584,593,0,2000.0,0,1000.0,8.81,6561.22,education,cloudy,art exhibition
59,2,1,Haryana,10,2,500.0,3515.94,31.675784,42.8212218,21.865479,69.2292,1136596,338,383,0,100.0,2,5000.0,620.08,6222.38,sightseeing,cloudy,music festival
57,3,1,Andhra Pradesh,7,1,35000.0,26899.72,28.29571,47.2432976,9.808089,74.4404,1467384,549,389,1,100.0,0,5000.0,459.84,3629.37,shopping,sunny,sports event
51,5,0,Assam,12,1,100.0,39104.36,33.344026,106.7012968,10.268608,79.3321,974386,8,720,0,500.0,0,1000.0,388.93,3284.4,shopping,rainy,art exhibition
49,2,0,Rajasthan,13,1,500.0,23446.55,20.830434,134.1164564,33.415868,70.3582,1440180,487,610,1,500.0,0,5000.0,195.95,7910.74,sightseeing,cloudy,music festival
29,2,2,Manipur,9,0,35000.0,6641.16,26.384696,12.7364962,32.482715,81.3463,117654,547,273,1,500.0,2,100.0,230.79,1431.68,shopping,cloudy,art exhibition
64,5,1,Kerala,27,0,25000.0,13352.03,26.984793,-9.0097102,32.306319,84.3672,28929,762,553,0,500.0,0,5000.0,109.14,612.97,education,sunny,sports event
35,5,2,Jharkhand,27,2,10000.0,8554.99,24.642061,-37.4894776,20.326411,72.1755,774338,419,955,1,500.0,2,2000.0,782.73,3713.78,shopping,cloudy,art exhibition
57,2,0,Meghalaya,24,1,5000.0,39789.24,10.276074,-56.4488086,20.723062,87.7871,697008,876,998,2,1000.0,1,2000.0,183.23,8845.72,shopping,sunny,art exhibition
33,5,0,Meghalaya,17,1,2000.0,44740.24,22.229154,30.734995,12.488932,73.1973,240393,679,155,2,1000.0,2,100.0,814.02,8252.07,education,rainy,music festival
58,5,0,Mizoram,21,2,100.0,16564.02,29.502453,35.48084,31.127201,93.0327,1301765,685,291,0,100.0,2,5000.0,154.12,3807.36,education,sunny,art exhibition
18,5,2,Kerala,25,0,100.0,43003.81,13.678276,106.763842,13.06327,88.6785,329275,75,60,2,1000.0,2,500.0,343.62,7555.12,sightseeing,cloudy,music festival
61,5,0,Telangana,24,2,50000.0,1319.26,16.684792,21.3869552,12.967701,91.4108,956054,136,706,0,1000.0,2,100.0,739.9,6899.86,education,rainy,music festival
71,2,0,Maharashtra,30,2,10000.0,39232.6,22.067865,39.5170628,27.606355,74.4814,12325,48,180,2,100.0,1,5000.0,108.72,8560.74,vacation,rainy,art exhibition
50,5,0,Meghalaya,4,1,35000.0,48396.66,36.426223,120.9638841,15.366017,94.7031,1083325,684,401,2,1000.0,0,500.0,129.37,8538.98,hiking,rainy,sports event
29,5,1,Gujarat,2,1,15000.0,14867.4,12.698586,106.8104633,12.766443,70.7712,128771,612,579,0,2000.0,0,2000.0,571.26,1761.72,shopping,cloudy,music festival
41,1,0,Karnataka,19,0,25000.0,20884.87,9.765784,121.0912149,9.17233,77.2178,847866,747,623,2,1000.0,1,2000.0,953.61,9123.58,hiking,cloudy,sports event
38,2,0,Tamil Nadu,19,0,100.0,17241.88,8.191018,21.8727139,8.959153,83.7024,494836,223,744,1,1000.0,1,2000.0,357.63,8889.34,education,sunny,music festival
55,2,1,Assam,24,1,50000.0,44919.14,14.519029,8.7649767,27.036422,88.4572,69281,648,955,2,2000.0,0,5000.0,660.22,7691.78,shopping,cloudy,art exhibition
78,5,0,Madhya Pradesh,19,1,25000.0,992.58,35.409651,19.65083,19.56448,71.5977,139240,940,649,1,100.0,1,100.0,318.84,6182.63,sightseeing,sunny,art exhibition
43,2,2,Assam,27,0,500.0,28427.98,34.640737,-68.23127,8.315045,70.6441,1150911,585,367,2,1000.0,1,2000.0,14.98,3963.61,education,rainy,sports event
51,2,2,Nagaland,9,2,2000.0,41228.38,27.314698,107.04219,12.830536,72.1048,403851,280,77,0,500.0,0,500.0,404.21,3744.88,education,rainy,art exhibition
72,2,2,Himachal Pradesh,17,2,500.0,15561.78,20.253807,118.382379,18.14251,72.8984,1103526,483,658,2,2000.0,1,500.0,229.71,2017.06,hiking,rainy,art exhibition
30,5,2,Arunachal Pradesh,9,2,1000.0,6957.63,27.010854,44.6113601,28.006066,79.3611,605664,259,699,1,1000.0,2,5000.0,242.26,9805.36,hiking,rainy,music festival
75,2,2,Andhra Pradesh,19,2,5000.0,18966.58,20.665538,-99.6487518,31.561781,71.5748,1205960,616,596,0,500.0,2,100.0,243.36,9989.01,education,sunny,music festival
36,2,0,Kerala,4,0,1000.0,40728.18,13.678112,114.353175,17.883326,75.116,728800,342,72,1,100.0,0,1000.0,784.07,8761.71,sightseeing,rainy,sports event
49,5,2,Kerala,4,0,1000.0,7349.59,23.212188,14.1351449,30.98846,94.1027,1492509,425,815,1,100.0,2,500.0,674.26,3654.11,vacation,cloudy,art exhibition
78,2,1,Karnataka,5,0,15000.0,38562.13,23.359206,37.4827996,28.081331,68.7135,220996,144,736,0,1000.0,2,5000.0,644.45,8710.09,education,rainy,music festival
24,7,0,Odisha,13,0,35000.0,4265.84,11.029376,110.2648159,8.95843,85.7155,322212,487,848,0,1000.0,2,500.0,380.24,5744.94,shopping,rainy,art exhibition
21,2,0,Assam,28,2,25000.0,3340.18,16.878903,30.451101,23.564614,93.2202,214943,584,886,1,1000.0,0,2000.0,364.05,1402.52,shopping,sunny,sports event
65,4,2,Jharkhand,23,0,100.0,46884.66,19.507377,109.351019,23.053425,92.2028,614617,159,498,1,2000.0,2,2000.0,699.33,2356.03,education,rainy,sports event
62,2,2,Arunachal Pradesh,12,0,1000.0,11228.77,30.991684,123.7727229,26.986241,95.7898,976830,23,149,0,2000.0,2,1000.0,541.79,5811.85,sightseeing,rainy,music festival
63,5,1,Jharkhand,9,1,35000.0,14924.66,25.874776,-100.3638252,36.019056,91.6775,428444,458,169,1,100.0,1,2000.0,453.74,3208.12,sightseeing,rainy,music festival
70,6,1,Nagaland,17,1,25000.0,8770.17,18.574904,18.6793794,29.352051,72.5347,1257759,571,862,0,1000.0,1,500.0,553.82,69.57,vacation,cloudy,sports event
52,6,0,Kerala,19,0,5000.0,16535.02,35.536616,107.0468263,27.779715,88.3973,979354,554,402,0,2000.0,1,5000.0,170.51,4064.49,shopping,sunny,music festival
27,2,1,Bihar,13,2,35000.0,20697.43,18.270138,79.18447,30.433638,88.6932,736755,402,929,0,1000.0,2,1000.0,243.68,7468.51,sightseeing,sunny,music festival
18,5,2,Kerala,16,2,1000.0,24538.12,32.832483,27.9542722,18.309744,78.4119,1148169,931,874,1,2000.0,0,100.0,622.65,3929.79,vacation,sunny,music festival
45,5,2,Punjab,1,1,35000.0,2597.83,36.21032,114.236875,13.077178,92.8545,653487,308,563,2,500.0,1,5000.0,960.54,8185.67,shopping,rainy,music festival
83,2,0,Andhra Pradesh,4,2,35000.0,38244.18,18.989126,48.6763991,30.272543,76.6129,994356,65,604,2,2000.0,0,5000.0,197.99,5832.68,sightseeing,cloudy,sports event
40,5,1,Odisha,19,2,25000.0,33228.05,11.096809,23.8131306,9.395052,74.1947,762405,527,364,0,500.0,2,1000.0,149.72,1034.09,shopping,sunny,art exhibition
56,5,0,Madhya Pradesh,24,2,15000.0,48112.85,33.323294,111.982232,36.743751,90.4018,422695,628,59,1,2000.0,0,2000.0,560.54,5469.79,hiking,cloudy,art exhibition
69,5,2,Meghalaya,19,0,500.0,8925.78,35.187677,-97.3199999,26.77364,70.014,1452482,440,749,0,100.0,2,1000.0,389.97,8502.29,hiking,rainy,music festival
64,7,0,Jharkhand,27,2,50000.0,49265.38,35.305913,-78.3006626,22.863665,69.8507,205719,202,245,0,2000.0,0,500.0,184.56,6472.92,education,sunny,art exhibition
18,2,1,Jharkhand,10,0,10000.0,24428.06,15.73358,104.618817,29.50942,76.5896,675100,760,935,1,1000.0,2,1000.0,576.94,4266.25,hiking,sunny,sports event
41,2,2,Punjab,20,2,2000.0,10575.4,32.991838,1.5693759,30.670732,70.6753,176549,819,627,0,1000.0,0,500.0,834.89,3078.52,vacation,rainy,sports event
60,5,0,Nagaland,17,2,5000.0,38255.15,20.202864,21.4177608,32.084798,95.7196,89708,965,53,2,2000.0,2,2000.0,416.13,955.67,education,sunny,music festival
20,4,0,Rajasthan,12,1,1000.0,43535.67,14.199454,-79.8688837,20.136968,83.0917,289202,933,123,2,1000.0,0,100.0,184.4,9290.98,vacation,rainy,sports event
35,2,1,Bihar,5,0,500.0,18501.96,15.283056,130.3745544,13.041919,74.8157,371933,934,376,2,2000.0,2,5000.0,118.31,1334.82,shopping,sunny,sports event
35,5,2,Haryana,5,0,25000.0,39214.9,10.550855,110.4153075,30.639723,80.597,618258,911,276,1,2000.0,2,500.0,822.51,7606.57,hiking,cloudy,sports event
21,2,0,Uttar Pradesh,22,2,15000.0,30401.71,28.98008,129.459707,28.315054,84.2096,655375,189,807,0,2000.0,2,5000.0,302.18,2086.85,hiking,rainy,music festival
28,5,0,Rajasthan,14,2,500.0,48303.71,26.709121,-45.0056921,10.092362,71.8691,401862,886,509,0,500.0,1,500.0,157.54,5682.73,education,sunny,art exhibition
85,2,1,Manipur,5,1,25000.0,32306.24,34.344217,107.445334,14.876207,74.9944,1159305,367,754,0,100.0,0,1000.0,97.0,3268.87,vacation,sunny,music festival
77,2,0,Karnataka,12,1,25000.0,12667.04,34.283281,110.4269535,23.87994,88.1733,1068187,816,148,2,500.0,2,2000.0,405.35,2146.67,shopping,cloudy,art exhibition
24,5,2,Chhattisgarh,5,1,1000.0,38740.52,9.720368,100.6365483,12.902938,88.5496,1361055,125,717,0,2000.0,0,1000.0,869.59,1651.52,hiking,cloudy,music festival
81,2,2,Himachal Pradesh,20,1,15000.0,44917.96,14.562942,127.75061,26.26862,78.6478,1133999,749,23,1,2000.0,2,5000.0,915.32,364.76,vacation,sunny,music festival
61,5,0,Punjab,4,1,2000.0,39783.1,34.155139,26.251617,17.382311,81.66,12241,419,216,1,100.0,0,500.0,720.74,4208.0,vacation,rainy,music festival
65,2,2,Assam,11,2,500.0,10242.47,12.760216,119.572183,25.129399,76.3427,1148491,361,682,0,1000.0,0,500.0,244.52,7138.41,education,sunny,sports event
85,5,0,Goa,24,0,15000.0,48155.7,14.575315,112.615815,11.078297,92.2923,1008896,403,397,2,1000.0,2,100.0,853.04,152.79,sightseeing,rainy,art exhibition
30,5,1,Uttar Pradesh,11,2,50000.0,49303.28,13.105502,-86.59,15.933992,84.5996,82713,808,721,2,1000.0,2,5000.0,796.37,5731.18,shopping,cloudy,music festival
55,5,2,Bihar,11,1,35000.0,38851.32,29.259675,131.4937793,18.595908,74.1279,1186433,216,107,2,2000.0,2,2000.0,570.2,3355.28,hiking,sunny,sports event
81,5,0,Assam,19,1,500.0,25220.23,34.592262,113.273288,21.459978,71.4599,893962,169,767,1,2000.0,1,1000.0,154.38,9508.44,sightseeing,sunny,sports event
61,5,2,Arunachal Pradesh,21,2,100.0,1751.62,12.638364,69.6003357,21.791855,84.4037,1036306,966,164,1,1000.0,2,500.0,246.37,6353.22,vacation,cloudy,music festival
35,2,1,Jharkhand,26,2,35000.0,48977.94,32.981552,101.8109253,24.262268,70.0309,378199,232,478,2,100.0,2,500.0,5.43,5673.07,shopping,cloudy,art exhibition
43,5,1,Maharashtra,25,2,500.0,47940.82,25.101526,22.4259628,21.228396,84.2833,667592,532,150,0,2000.0,1,2000.0,331.1,7723.69,vacation,rainy,art exhibition
77,2,0,Jharkhand,20,0,1000.0,1387.49,16.268845,113.4785837,14.624563,75.2519,625945,156,256,0,2000.0,1,1000.0,923.14,6456.29,shopping,cloudy,sports event
68,2,2,Andhra Pradesh,14,0,500.0,6023.88,23.784393,106.273576,35.500625,90.4855,475112,30,418,2,500.0,0,100.0,884.71,307.83,vacation,cloudy,music festival
56,5,0,Madhya Pradesh,29,0,35000.0,14124.49,23.587408,-75.341462,31.365221,90.4938,100925,921,891,2,100.0,2,500.0,398.23,7271.07,vacation,cloudy,art exhibition
55,2,2,Rajasthan,2,2,50000.0,3018.48,33.240103,-22.0170973,30.280605,91.6114,545969,168,366,2,2000.0,1,100.0,218.21,9261.06,education,sunny,sports event
71,2,2,Manipur,9,1,5000.0,11101.17,10.183348,105.4448838,34.345122,92.7808,1034475,616,274,2,1000.0,2,1000.0,466.99,2266.55,hiking,rainy,art exhibition
24,2,2,Jharkhand,26,2,100.0,34388.92,22.747329,-72.9485366,15.65127,75.7899,1002704,615,119,2,100.0,1,2000.0,63.28,1588.27,sightseeing,sunny,music festival
81,5,0,Arunachal Pradesh,22,2,15000.0,33620.95,21.852031,123.7403542,15.873067,77.458,163042,140,965,1,2000.0,2,100.0,297.96,4263.42,education,cloudy,art exhibition
68,5,1,Uttar Pradesh,14,2,15000.0,15844.08,27.889424,121.3228399,33.364884,80.7947,175177,698,578,1,500.0,0,500.0,685.96,2157.47,vacation,cloudy,sports event
78,5,2,Madhya Pradesh,15,2,10000.0,19989.07,8.702747,-71.7674379,27.941392,91.3847,150384,118,498,2,1000.0,2,500.0,100.62,8351.66,education,rainy,sports event
27,5,1,Jharkhand,17,2,500.0,24161.83,18.297779,18.78031,12.263978,88.5066,794270,476,194,2,2000.0,1,2000.0,500.59,305.85,vacation,sunny,art exhibition
48,5,0,Karnataka,27,2,100.0,3611.03,15.350407,51.3705587,18.969167,78.0193,1487930,470,247,2,2000.0,2,2000.0,602.43,1174.63,sightseeing,sunny,sports event
73,5,0,Jharkhand,30,0,500.0,8344.62,14.739311,26.6291023,21.285046,92.5315,1026118,28,303,2,500.0,0,5000.0,39.13,8963.84,sightseeing,cloudy,sports event
28,2,0,Odisha,19,0,5000.0,49913.82,21.000372,35.8958444,15.688023,82.1808,326104,801,342,2,500.0,0,1000.0,399.77,8783.74,shopping,cloudy,sports event
52,2,0,Himachal Pradesh,5,2,15000.0,4826.18,14.844529,38.856404,32.182116,93.0886,93305,943,688,2,2000.0,0,1000.0,517.9,4015.94,vacation,cloudy,music festival
38,5,1,Telangana,2,2,50000.0,12501.25,28.089948,107.083333,20.836804,71.3185,609108,653,812,2,100.0,1,1000.0,738.36,169.68,vacation,cloudy,sports event
65,5,1,Telangana,30,1,50000.0,10172.19,22.165182,1.6639235,36.924836,70.1497,1014721,559,803,0,500.0,2,100.0,907.68,7956.61,vacation,cloudy,art exhibition
35,5,2,Goa,6,2,15000.0,14501.82,12.237842,-74.2176156,13.999542,91.2488,413280,296,555,0,2000.0,2,500.0,337.15,9608.22,education,rainy,sports event
32,5,1,Chhattisgarh,6,0,50000.0,2911.55,29.222472,-97.3692131,16.056125,81.6826,1318607,128,121,0,100.0,0,2000.0,907.18,2852.5,vacation,sunny,music festival
59,5,2,Nagaland,18,2,100.0,39367.72,25.610943,-69.7403955,22.474702,69.1742,756379,902,415,0,100.0,0,5000.0,174.04,5343.86,education,rainy,sports event
35,2,1,Kerala,11,1,25000.0,33771.21,30.337814,-90.73956,26.734588,88.226,631348,431,731,2,500.0,0,1000.0,366.44,1071.7,sightseeing,sunny,sports event
51,2,2,Chhattisgarh,21,1,15000.0,30067.59,34.221378,127.75061,29.099377,87.4974,1016960,430,930,1,1000.0,2,2000.0,510.07,9670.55,sightseeing,rainy,music festival
44,2,2,Andhra Pradesh,28,1,50000.0,14376.71,26.914101,126.2947741,10.051303,74.652,1407794,195,462,2,100.0,2,100.0,273.38,8014.13,shopping,sunny,sports event
30,5,0,Karnataka,30,0,2000.0,49527.09,15.245408,119.922796,28.921754,87.3342,1330897,668,760,0,1000.0,1,1000.0,216.89,4278.91,sightseeing,cloudy,art exhibition
19,5,1,Tamil Nadu,23,1,35000.0,15748.77,27.538031,12.5751597,33.366021,68.819,855898,726,678,1,100.0,2,500.0,115.09,6077.72,hiking,rainy,sports event
57,5,2,Chhattisgarh,5,2,1000.0,42413.73,21.41965,16.1685899,31.111472,73.6056,658742,72,879,0,2000.0,1,2000.0,945.63,2899.56,hiking,cloudy,music festival
57,5,1,Sikkim,12,0,10000.0,36864.08,36.781285,118.297302,11.654225,84.0375,590415,725,875,2,100.0,0,5000.0,811.62,8118.88,education,sunny,music festival
43,2,0,Manipur,23,2,100.0,26150.91,17.110984,-44.301421,20.975746,70.6796,748216,631,907,2,500.0,1,1000.0,840.31,2165.32,sightseeing,rainy,art exhibition
71,2,2,Meghalaya,8,1,50000.0,5311.1,13.361623,121.4737021,24.655486,72.847,546181,603,1000,0,2000.0,1,5000.0,568.63,7834.96,hiking,cloudy,art exhibition
80,2,0,Kerala,8,1,100.0,19693.32,18.651718,117.22473,25.391961,78.9114,631988,200,631,0,500.0,1,5000.0,825.25,125.64,vacation,sunny,sports event
78,5,1,Telangana,3,0,25000.0,18181.97,12.653607,112.0804259,13.862386,73.9591,538802,482,391,0,100.0,2,2000.0,806.43,4377.23,sightseeing,rainy,art exhibition
42,2,1,Gujarat,3,2,500.0,7324.45,20.606815,16.259316,13.658835,76.9305,71520,329,217,1,500.0,1,1000.0,409.15,8132.57,education,rainy,art exhibition
45,2,1,Punjab,4,1,100.0,12823.84,10.583183,-69.2304627,11.36273,94.987,729739,709,67,0,2000.0,0,500.0,480.51,3205.92,shopping,rainy,art exhibition
53,2,0,Mizoram,18,1,10000.0,48920.31,9.59001,21.05416,34.318903,93.0667,1486148,277,531,2,100.0,1,2000.0,692.86,9965.58,education,cloudy,sports event
34,5,0,Meghalaya,28,2,50000.0,8849.28,10.149002,121.9160381,16.987271,77.7356,469889,870,551,2,100.0,2,5000.0,463.58,6106.84,sightseeing,sunny,sports event
46,5,2,Andhra Pradesh,18,2,1000.0,2396.46,29.165574,22.2939742,21.77546,79.2951,462921,547,493,1,100.0,0,5000.0,742.57,437.38,vacation,sunny,art exhibition
40,2,2,Madhya Pradesh,13,2,2000.0,29589.0,31.310184,19.6371484,27.214697,86.0301,1282344,479,553,2,500.0,1,1000.0,438.25,5057.14,education,rainy,sports event
28,5,2,Haryana,25,1,100.0,26481.52,27.719543,-75.508016,28.140453,94.5659,195320,594,585,1,1000.0,2,2000.0,239.3,1538.31,shopping,cloudy,art exhibition
26,5,0,Himachal Pradesh,16,0,100.0,35036.87,18.935934,49.7392575,23.364373,69.6381,405660,136,852,1,100.0,1,5000.0,324.23,9533.66,hiking,rainy,music festival
70,5,0,Arunachal Pradesh,10,2,50000.0,16333.78,21.249299,-70.7578553,24.005264,91.1272,433489,645,385,1,100.0,0,100.0,342.46,4058.7,sightseeing,cloudy,art exhibition
59,5,2,Arunachal Pradesh,23,2,5000.0,17026.51,26.60231,98.5940814,11.825654,72.0033,381227,384,882,0,1000.0,2,1000.0,36.64,4386.42,shopping,sunny,music festival
70,5,2,Goa,21,0,15000.0,19110.25,24.490209,1.378056,31.097483,69.5769,615336,361,957,2,2000.0,1,1000.0,993.43,4624.27,vacation,sunny,art exhibition
52,2,1,Rajasthan,21,2,15000.0,45208.72,14.697298,-55.7578403,33.050623,82.1563,182202,854,201,0,2000.0,2,500.0,477.57,8237.62,vacation,sunny,art exhibition
37,5,1,Himachal Pradesh,22,2,500.0,40842.88,22.947553,117.504737,15.922841,97.354,444434,83,447,0,1000.0,2,100.0,616.16,9778.58,sightseeing,sunny,music festival
85,2,1,Himachal Pradesh,5,0,1000.0,24390.56,13.167243,-75.4534081,21.751832,91.0156,289082,868,303,2,1000.0,1,100.0,986.48,8296.55,shopping,rainy,music festival
85,2,0,Punjab,28,0,2000.0,5770.31,33.060562,115.484454,34.045287,96.4238,715614,314,102,0,500.0,2,5000.0,433.73,9735.95,shopping,cloudy,music festival
82,2,2,Andhra Pradesh,15,0,5000.0,44666.33,14.82627,24.7380385,26.317684,93.3848,1354126,24,886,1,2000.0,2,100.0,190.1,3308.09,sightseeing,rainy,art exhibition
33,2,2,Madhya Pradesh,3,2,10000.0,4236.61,27.408406,23.2195437,18.220244,81.2124,1424450,579,924,1,1000.0,2,5000.0,816.3,6148.63,sightseeing,sunny,sports event
76,2,0,Karnataka,14,2,35000.0,35354.67,16.608907,-7.4976536,24.647534,70.083,843350,888,177,2,2000.0,1,5000.0,104.51,1576.94,education,cloudy,art exhibition
74,2,2,Tamil Nadu,25,0,10000.0,17979.16,26.307291,22.72778,17.325054,83.6911,916084,399,579,0,500.0,0,2000.0,534.84,4523.05,vacation,cloudy,art exhibition
37,5,2,Rajasthan,30,0,25000.0,43688.08,28.452975,-104.00092,19.603147,82.265,1092502,561,845,1,2000.0,0,100.0,56.1,3953.57,education,sunny,music festival
65,2,0,Manipur,16,2,15000.0,8990.38,12.479096,-38.2322028,25.974507,92.1086,167782,285,530,2,2000.0,0,2000.0,546.58,8685.68,vacation,cloudy,sports event
