user_id,age,gender,travel_preferences,destination,duration,purpose,user_budget,actual_expenses,current_location_latitude,current_location_longitude,destination_latitude,destination_longitude,distance,current_cost_of_living_index,destination_cost_of_living_index,accommodation_type,accommodation_cost_per_night,transportation_mode,transportation_cost,daily_meal_expenses,average_restaurant_prices,planned_activities,weather_data,local_events
56,41,Bigender,adventure,Karnataka,19,business,₹25000,20884.87,9.765784,121.0912149,9.17233,77.2178,847866,747,623,vacation rental,₹1000,plane,₹2000,953.61,9123.58,hiking,cloudy,sports event
57,38,Female,adventure,Tamil Nadu,19,business,₹100,17241.88,8.191018,21.8727139,8.959153,83.7024,494836,223,744,hotel,₹1000,plane,₹2000,357.63,8889.34,education,sunny,music festival
58,55,Female,cultural,Assam,24,family,₹50000,44919.14,14.519029,8.7649767,27.036422,88.4572,69281,648,955,vacation rental,₹2000,car,₹5000,660.22,7691.78,shopping,cloudy,art exhibition
59,78,Male,adventure,Madhya Pradesh,19,family,₹25000,992.58,35.409651,19.65083,19.56448,71.5977,139240,940,649,hotel,₹100,plane,₹100,318.84,6182.63,sightseeing,sunny,art exhibition
60,43,Female,relaxation,Assam,27,business,₹500,28427.98,34.640737,-68.23127,8.315045,70.6441,1150911,585,367,vacation rental,₹1000,plane,₹2000,14.98,3963.61,education,rainy,sports event
61,44,Female,adventure,Manipur,16,family,"",9540.97,29.832932,-6.2823331,9.197968,93.6082,1409771,466,817,vacation rental,₹1000,plane,₹5000,853.82,8079.12,education,cloudy,art exhibition
62,51,Female,relaxation,Nagaland,9,vacation,₹2000,41228.38,27.314698,107.04219,12.830536,72.1048,403851,280,77,hostel,₹500,car,₹500,404.21,3744.88,education,rainy,art exhibition
63,72,Female,relaxation,Himachal Pradesh,17,vacation,₹500,15561.78,20.253807,118.382379,18.14251,72.8984,1103526,483,658,vacation rental,₹2000,plane,₹500,229.71,2017.06,hiking,rainy,art exhibition
64,77,Female,cultural,Gujarat,13,business,"",39035.69,33.547562,121.7408654,33.952975,79.4461,1111219,627,360,hotel,₹100,car,₹1000,781.71,7619.38,hiking,cloudy,sports event
65,30,Male,relaxation,Arunachal Pradesh,9,vacation,₹1000,6957.63,27.010854,44.6113601,28.006066,79.3611,605664,259,699,hotel,₹1000,train,₹5000,242.26,9805.36,hiking,rainy,music festival
66,75,Female,relaxation,Andhra Pradesh,19,vacation,₹5000,18966.58,20.665538,-99.6487518,31.561781,71.5748,1205960,616,596,hostel,₹500,train,₹100,243.36,9989.01,education,sunny,music festival
67,36,Female,adventure,Kerala,4,business,₹1000,40728.18,13.678112,114.353175,17.883326,75.116,728800,342,72,hotel,₹100,car,₹1000,784.07,8761.71,sightseeing,rainy,sports event
68,36,Male,adventure,Bihar,17,vacation,"",2820.92,17.548506,-53.758612,29.518164,75.8214,989702,826,244,vacation rental,₹1000,car,₹500,686.24,6862.48,sightseeing,cloudy,sports event
69,49,Male,relaxation,Kerala,4,business,₹1000,7349.59,23.212188,14.1351449,30.98846,94.1027,1492509,425,815,hotel,₹100,train,₹500,674.26,3654.11,vacation,cloudy,art exhibition
70,78,Female,cultural,Karnataka,5,business,₹15000,38562.13,23.359206,37.4827996,28.081331,68.7135,220996,144,736,hostel,₹1000,train,₹5000,644.45,8710.09,education,rainy,music festival
71,24,Polygender,adventure,Odisha,13,business,₹35000,4265.84,11.029376,110.2648159,8.95843,85.7155,322212,487,848,hostel,₹1000,train,₹500,380.24,5744.94,shopping,rainy,art exhibition
72,21,Female,adventure,Assam,28,vacation,₹25000,3340.18,16.878903,30.451101,23.564614,93.2202,214943,584,886,hotel,₹1000,car,₹2000,364.05,1402.52,shopping,sunny,sports event
73,65,Genderqueer,relaxation,Jharkhand,23,business,₹100,46884.66,19.507377,109.351019,23.053425,92.2028,614617,159,498,hotel,₹2000,train,₹2000,699.33,2356.03,education,rainy,sports event
74,62,Female,relaxation,Arunachal Pradesh,12,business,₹1000,11228.77,30.991684,123.7727229,26.986241,95.7898,976830,23,149,hostel,₹2000,train,₹1000,541.79,5811.85,sightseeing,rainy,music festival
75,63,Male,cultural,Jharkhand,9,family,₹35000,14924.66,25.874776,-100.3638252,36.019056,91.6775,428444,458,169,hotel,₹100,plane,₹2000,453.74,3208.12,sightseeing,rainy,music festival
76,56,Female,cultural,Maharashtra,6,business,"",33179.54,31.517682,125.5562747,15.991385,92.0822,1110890,984,420,hotel,₹100,car,₹500,801.15,1912.87,shopping,rainy,sports event
77,70,Non-binary,cultural,Nagaland,17,family,₹25000,8770.17,18.574904,18.6793794,29.352051,72.5347,1257759,571,862,hostel,₹1000,plane,₹500,553.82,69.57,vacation,cloudy,sports event
78,52,Non-binary,adventure,Kerala,19,business,₹5000,16535.02,35.536616,107.0468263,27.779715,88.3973,979354,554,402,hostel,₹2000,plane,₹5000,170.51,4064.49,shopping,sunny,music festival
79,27,Female,cultural,Bihar,13,vacation,₹35000,20697.43,18.270138,79.18447,30.433638,88.6932,736755,402,929,hostel,₹1000,train,₹1000,243.68,7468.51,sightseeing,sunny,music festival
80,18,Male,relaxation,Kerala,16,vacation,₹1000,24538.12,32.832483,27.9542722,18.309744,78.4119,1148169,931,874,hotel,₹2000,car,₹100,622.65,3929.79,vacation,sunny,music festival
81,45,Male,relaxation,Punjab,1,family,₹35000,2597.83,36.21032,114.236875,13.077178,92.8545,653487,308,563,vacation rental,₹500,plane,₹5000,960.54,8185.67,shopping,rainy,music festival
82,74,Female,adventure,Assam,8,vacation,"",13178.74,18.353787,120.1821,20.686189,77.8366,1156136,682,290,hostel,₹100,car,₹1000,525.45,3317.27,hiking,sunny,art exhibition
83,83,Female,adventure,Andhra Pradesh,4,vacation,₹35000,38244.18,18.989126,48.6763991,30.272543,76.6129,994356,65,604,vacation rental,₹2000,car,₹5000,197.99,5832.68,sightseeing,cloudy,sports event
84,40,Male,cultural,Odisha,19,vacation,₹25000,33228.05,11.096809,23.8131306,9.395052,74.1947,762405,527,364,hostel,₹500,train,₹1000,149.72,1034.09,shopping,sunny,art exhibition
85,56,Male,adventure,Madhya Pradesh,24,vacation,₹15000,48112.85,33.323294,111.982232,36.743751,90.4018,422695,628,59,hotel,₹2000,car,₹2000,560.54,5469.79,hiking,cloudy,art exhibition
86,69,Male,relaxation,Meghalaya,19,business,₹500,8925.78,35.187677,-97.3199999,26.77364,70.014,1452482,440,749,hostel,₹100,train,₹1000,389.97,8502.29,hiking,rainy,music festival
87,64,Polygender,adventure,Jharkhand,27,vacation,₹50000,49265.38,35.305913,-78.3006626,22.863665,69.8507,205719,202,245,hostel,₹2000,car,₹500,184.56,6472.92,education,sunny,art exhibition
88,18,Female,cultural,Jharkhand,10,business,₹10000,24428.06,15.73358,104.618817,29.50942,76.5896,675100,760,935,hotel,₹1000,train,₹1000,576.94,4266.25,hiking,sunny,sports event
89,41,Female,relaxation,Punjab,20,vacation,₹2000,10575.4,32.991838,1.5693759,30.670732,70.6753,176549,819,627,hostel,₹1000,car,₹500,834.89,3078.52,vacation,rainy,sports event
90,60,Male,adventure,Nagaland,17,vacation,₹5000,38255.15,20.202864,21.4177608,32.084798,95.7196,89708,965,53,vacation rental,₹2000,train,₹2000,416.13,955.67,education,sunny,music festival
91,20,Genderqueer,adventure,Rajasthan,12,family,₹1000,43535.67,14.199454,-79.8688837,20.136968,83.0917,289202,933,123,vacation rental,₹1000,car,₹100,184.4,9290.98,vacation,rainy,sports event
92,35,Female,cultural,Bihar,5,business,₹500,18501.96,15.283056,130.3745544,13.041919,74.8157,371933,934,376,vacation rental,₹2000,train,₹5000,118.31,1334.82,shopping,sunny,sports event
93,35,Male,relaxation,Haryana,5,business,₹25000,39214.9,10.550855,110.4153075,30.639723,80.597,618258,911,276,hotel,₹2000,train,₹500,822.51,7606.57,hiking,cloudy,sports event
94,21,Female,adventure,Uttar Pradesh,22,vacation,₹15000,30401.71,28.98008,129.459707,28.315054,84.2096,655375,189,807,hostel,₹2000,train,₹5000,302.18,2086.85,hiking,rainy,music festival
95,28,Male,adventure,Rajasthan,14,vacation,₹500,48303.71,26.709121,-45.0056921,10.092362,71.8691,401862,886,509,hostel,₹500,plane,₹500,157.54,5682.73,education,sunny,art exhibition
96,85,Female,cultural,Manipur,5,family,₹25000,32306.24,34.344217,107.445334,14.876207,74.9944,1159305,367,754,hostel,₹100,car,₹1000,97.0,3268.87,vacation,sunny,music festival
97,77,Female,adventure,Karnataka,12,family,₹25000,12667.04,34.283281,110.4269535,23.87994,88.1733,1068187,816,148,vacation rental,₹500,train,₹2000,405.35,2146.67,shopping,cloudy,art exhibition
98,24,Male,relaxation,Chhattisgarh,5,family,₹1000,38740.52,9.720368,100.6365483,12.902938,88.5496,1361055,125,717,hostel,₹2000,car,₹1000,869.59,1651.52,hiking,cloudy,music festival
99,81,Female,relaxation,Himachal Pradesh,20,family,₹15000,44917.96,14.562942,127.75061,26.26862,78.6478,1133999,749,23,hotel,₹2000,train,₹5000,915.32,364.76,vacation,sunny,music festival
100,82,Male,relaxation,Nagaland,22,family,"",39290.03,33.158505,113.121435,18.846472,73.7531,635393,67,160,vacation rental,₹500,car,₹5000,421.51,348.81,sightseeing,cloudy,art exhibition
101,61,Male,adventure,Punjab,4,family,₹2000,39783.1,34.155139,26.251617,17.382311,81.66,12241,419,216,hotel,₹100,car,₹500,720.74,4208.0,vacation,rainy,music festival
102,65,Female,relaxation,Assam,11,vacation,₹500,10242.47,12.760216,119.572183,25.129399,76.3427,1148491,361,682,hostel,₹1000,car,₹500,244.52,7138.41,education,sunny,sports event
103,41,Agender,cultural,Punjab,5,vacation,"",42444.21,28.298905,117.541917,32.133374,69.1453,640715,385,807,hostel,₹2000,car,₹2000,895.75,6026.7,education,cloudy,sports event
104,85,Male,adventure,Goa,24,business,₹15000,48155.7,14.575315,112.615815,11.078297,92.2923,1008896,403,397,vacation rental,₹1000,train,₹100,853.04,152.79,sightseeing,rainy,art exhibition
105,30,Male,cultural,Uttar Pradesh,11,vacation,₹50000,49303.28,13.105502,-86.59,15.933992,84.5996,82713,808,721,vacation rental,₹1000,train,₹5000,796.37,5731.18,shopping,cloudy,music festival
106,55,Male,relaxation,Bihar,11,family,₹35000,38851.32,29.259675,131.4937793,18.595908,74.1279,1186433,216,107,vacation rental,₹2000,train,₹2000,570.2,3355.28,hiking,sunny,sports event
107,36,Male,cultural,Maharashtra,16,family,"",32907.3,30.276762,35.398479,13.002366,85.9876,157444,16,509,hostel,₹2000,train,₹100,740.02,6998.79,hiking,rainy,art exhibition
108,81,Male,adventure,Assam,19,family,₹500,25220.23,34.592262,113.273288,21.459978,71.4599,893962,169,767,hotel,₹2000,plane,₹1000,154.38,9508.44,sightseeing,sunny,sports event
109,61,Male,relaxation,Arunachal Pradesh,21,vacation,₹100,1751.62,12.638364,69.6003357,21.791855,84.4037,1036306,966,164,hotel,₹1000,train,₹500,246.37,6353.22,vacation,cloudy,music festival
110,35,Female,cultural,Jharkhand,26,vacation,₹35000,48977.94,32.981552,101.8109253,24.262268,70.0309,378199,232,478,vacation rental,₹100,train,₹500,5.43,5673.07,shopping,cloudy,art exhibition
111,43,Male,cultural,Maharashtra,25,vacation,₹500,47940.82,25.101526,22.4259628,21.228396,84.2833,667592,532,150,hostel,₹2000,plane,₹2000,331.1,7723.69,vacation,rainy,art exhibition
112,77,Female,adventure,Jharkhand,20,business,₹1000,1387.49,16.268845,113.4785837,14.624563,75.2519,625945,156,256,hostel,₹2000,plane,₹1000,923.14,6456.29,shopping,cloudy,sports event
113,68,Female,relaxation,Andhra Pradesh,14,business,₹500,6023.88,23.784393,106.273576,35.500625,90.4855,475112,30,418,vacation rental,₹500,car,₹100,884.71,307.83,vacation,cloudy,music festival
114,56,Male,adventure,Madhya Pradesh,29,business,₹35000,14124.49,23.587408,-75.341462,31.365221,90.4938,100925,921,891,vacation rental,₹100,train,₹500,398.23,7271.07,vacation,cloudy,art exhibition
115,55,Female,relaxation,Rajasthan,2,vacation,₹50000,3018.48,33.240103,-22.0170973,30.280605,91.6114,545969,168,366,vacation rental,₹2000,plane,₹100,218.21,9261.06,education,sunny,sports event
116,71,Female,relaxation,Manipur,9,family,₹5000,11101.17,10.183348,105.4448838,34.345122,92.7808,1034475,616,274,vacation rental,₹1000,train,₹1000,466.99,2266.55,hiking,rainy,art exhibition
117,24,Female,relaxation,Jharkhand,26,vacation,₹100,34388.92,22.747329,-72.9485366,15.65127,75.7899,1002704,615,119,vacation rental,₹100,plane,₹2000,63.28,1588.27,sightseeing,sunny,music festival
118,81,Male,adventure,Arunachal Pradesh,22,vacation,₹15000,33620.95,21.852031,123.7403542,15.873067,77.458,163042,140,965,hotel,₹2000,train,₹100,297.96,4263.42,education,cloudy,art exhibition
119,68,Male,cultural,Uttar Pradesh,14,vacation,₹15000,15844.08,27.889424,121.3228399,33.364884,80.7947,175177,698,578,hotel,₹500,car,₹500,685.96,2157.47,vacation,cloudy,sports event
120,78,Male,relaxation,Madhya Pradesh,15,vacation,₹10000,19989.07,8.702747,-71.7674379,27.941392,91.3847,150384,118,498,vacation rental,₹1000,train,₹500,100.62,8351.66,education,rainy,sports event
121,27,Male,cultural,Jharkhand,17,vacation,₹500,24161.83,18.297779,18.78031,12.263978,88.5066,794270,476,194,vacation rental,₹2000,plane,₹2000,500.59,305.85,vacation,sunny,art exhibition
122,48,Male,adventure,Karnataka,27,vacation,₹100,3611.03,15.350407,51.3705587,18.969167,78.0193,1487930,470,247,vacation rental,₹2000,train,₹2000,602.43,1174.63,sightseeing,sunny,sports event
123,56,Female,adventure,Maharashtra,7,business,"",8050.23,24.736657,-9.3381766,25.033319,80.5076,1228079,492,605,vacation rental,₹2000,car,₹5000,988.21,9836.88,hiking,sunny,art exhibition
124,73,Male,adventure,Jharkhand,30,business,₹500,8344.62,14.739311,26.6291023,21.285046,92.5315,1026118,28,303,vacation rental,₹500,car,₹5000,39.13,8963.84,sightseeing,cloudy,sports event
125,28,Female,adventure,Odisha,19,business,₹5000,49913.82,21.000372,35.8958444,15.688023,82.1808,326104,801,342,vacation rental,₹500,car,₹1000,399.77,8783.74,shopping,cloudy,sports event
126,52,Female,adventure,Himachal Pradesh,5,vacation,₹15000,4826.18,14.844529,38.856404,32.182116,93.0886,93305,943,688,vacation rental,₹2000,car,₹1000,517.9,4015.94,vacation,cloudy,music festival
127,38,Male,cultural,Telangana,2,vacation,₹50000,12501.25,28.089948,107.083333,20.836804,71.3185,609108,653,812,vacation rental,₹100,plane,₹1000,738.36,169.68,vacation,cloudy,sports event
128,65,Male,cultural,Telangana,30,family,₹50000,10172.19,22.165182,1.6639235,36.924836,70.1497,1014721,559,803,hostel,₹500,train,₹100,907.68,7956.61,vacation,cloudy,art exhibition
129,35,Male,relaxation,Goa,6,vacation,₹15000,14501.82,12.237842,-74.2176156,13.999542,91.2488,413280,296,555,hostel,₹2000,train,₹500,337.15,9608.22,education,rainy,sports event
130,32,Male,cultural,Chhattisgarh,6,business,₹50000,2911.55,29.222472,-97.3692131,16.056125,81.6826,1318607,128,121,hostel,₹100,car,₹2000,907.18,2852.5,vacation,sunny,music festival
131,59,Male,relaxation,Nagaland,18,vacation,₹100,39367.72,25.610943,-69.7403955,22.474702,69.1742,756379,902,415,hostel,₹100,car,₹5000,174.04,5343.86,education,rainy,sports event
132,35,Female,cultural,Kerala,11,family,₹25000,33771.21,30.337814,-90.73956,26.734588,88.226,631348,431,731,vacation rental,₹500,car,₹1000,366.44,1071.7,sightseeing,sunny,sports event
133,51,Female,relaxation,Chhattisgarh,21,family,₹15000,30067.59,34.221378,127.75061,29.099377,87.4974,1016960,430,930,hotel,₹1000,train,₹2000,510.07,9670.55,sightseeing,rainy,music festival
134,44,Female,relaxation,Andhra Pradesh,28,family,₹50000,14376.71,26.914101,126.2947741,10.051303,74.652,1407794,195,462,vacation rental,₹100,train,₹100,273.38,8014.13,shopping,sunny,sports event
135,30,Male,adventure,Karnataka,30,business,₹2000,49527.09,15.245408,119.922796,28.921754,87.3342,1330897,668,760,hostel,₹1000,plane,₹1000,216.89,4278.91,sightseeing,cloudy,art exhibition
136,19,Male,cultural,Tamil Nadu,23,family,₹35000,15748.77,27.538031,12.5751597,33.366021,68.819,855898,726,678,hotel,₹100,train,₹500,115.09,6077.72,hiking,rainy,sports event
137,57,Male,relaxation,Chhattisgarh,5,vacation,₹1000,42413.73,21.41965,16.1685899,31.111472,73.6056,658742,72,879,hostel,₹2000,plane,₹2000,945.63,2899.56,hiking,cloudy,music festival
138,57,Male,cultural,Sikkim,12,business,₹10000,36864.08,36.781285,118.297302,11.654225,84.0375,590415,725,875,vacation rental,₹100,car,₹5000,811.62,8118.88,education,sunny,music festival
